DateTime,Compressor A1 (kW),Compressor B1 (kW),Compressor C 1(kW),Compressor D1 (kW),Compressor A2 (kW),Compressor B2 (kW),Compressor C2 (kW),Compressor D2 (kW),Pressure (psig)
5/1/2022 5:45,166.2,276.7,350.8,445.2,131.7,281.9,422.9,416.6,83.503
5/1/2022 5:46,167,311,363.7,412.8,136.7,272.9,429.8,446.8,83.503
5/1/2022 5:47,166.3,293.2,368.6,405,138.8,277.3,414.9,402.2,83.693
5/1/2022 5:48,162.4,275.7,355.7,402.1,132,273.6,427.4,405.9,82.999
5/1/2022 5:49,169.8,281.9,352.1,426,134.3,272.3,437.5,508.7,83.062
5/1/2022 5:50,172.5,285.2,354.4,412.5,135.1,277.8,429.9,387.5,82.936
5/1/2022 5:51,168,288.1,358.1,407.9,145.9,280.4,427.8,397.8,83.251
5/1/2022 5:52,164.1,287.7,357.7,427.5,136.9,274.1,444.5,427.4,83.567
5/1/2022 5:53,156.2,276.5,357.9,409.5,130.3,282.3,453.3,411.4,83.819
5/1/2022 5:54,164.1,287.2,347.8,412.8,137.7,283.9,439.9,415.2,84.197
5/1/2022 5:55,167,285,354.2,451,141.2,283.5,434.1,408.3,83.882
5/1/2022 5:56,159.8,284.5,347.4,428.4,126.3,276.2,437,401.2,83.63
5/1/2022 5:57,163.1,281.1,355.7,407.8,136.1,275.3,425.6,399.9,83.693
5/1/2022 5:58,166.6,270.7,345.1,430.5,146.6,278,401.9,420.1,83.693
5/1/2022 5:59,166,284,345.8,410.3,140.2,280.5,396.4,428.2,83.44
5/1/2022 6:00,170.7,284.4,347.8,401.5,133,285.6,401.9,401.9,83.567
5/1/2022 6:00,169.8,286,348.7,400.4,130.4,270.7,401.3,393,83.693
5/1/2022 6:01,167.4,279.9,346.9,405.3,139.1,282.2,406.5,398.7,83.693
5/1/2022 6:02,164.8,288.3,348.8,399.9,125.3,275.1,406.8,404.8,84.008
5/1/2022 6:03,164.3,297.6,349.7,420.6,128.3,276.5,400.8,394.4,83.756
5/1/2022 6:04,167.7,281,350.7,412.1,130.3,273.6,412,400.8,82.999
5/1/2022 6:05,167.7,285.1,357.9,402.9,143.2,279.5,403.7,404.6,82.557
5/1/2022 6:06,169,275.1,368.2,407.9,141,276.1,403.2,413,82.368
5/1/2022 6:07,162,279.1,368.9,406.5,140.2,272.2,401.8,407.8,82.62
5/1/2022 6:08,161.7,273.7,365.1,399.5,131.7,273.5,408.3,401.9,82.936
5/1/2022 6:09,160.4,277.7,366.2,400.9,122.9,279.7,408.1,422.9,82.683
5/1/2022 6:10,167.9,275.6,373.2,431.2,135.2,281.3,392.4,408.5,82.368
5/1/2022 6:11,161.3,284.4,362.5,406,125,276.5,394.7,400.3,82.999
5/1/2022 6:12,160,283.4,371.4,461,127.9,272.1,392.1,408.3,82.999
5/1/2022 6:13,158.5,270.9,375.4,406,129.1,274.2,392.6,408,83.062
5/1/2022 6:14,166.4,277,360.3,395.9,127.7,272.9,391.2,400.7,83.062
5/1/2022 6:15,160,280.5,371.4,397.2,129.7,280.4,404.1,400.6,83.251
5/1/2022 6:16,163.9,285.3,366.3,394.9,124.4,286.9,398.2,430,83.567
5/1/2022 6:17,170.4,280.4,367.8,402.1,134.4,278.9,400.7,397.5,82.81
5/1/2022 6:18,156.3,282.3,371.8,394.6,124,279.5,409.4,406.4,82.873
5/1/2022 6:19,164.2,278.7,363.2,396,136.8,273.5,401.2,414.8,83.188
5/1/2022 6:20,166.4,282.2,357.6,398.6,139.2,287.1,396.5,405.1,83.882
5/1/2022 6:21,171.4,280.9,364,395.9,145.3,270.9,410.8,422.2,83.882
5/1/2022 6:22,169.5,283.7,357.6,401.7,147.3,271.3,416.6,434,83.756
5/1/2022 6:23,166.8,275.1,360.8,399.6,129.5,285.3,413.4,409.7,84.071
5/1/2022 6:24,168.9,279.9,366.3,402.2,143.5,273.6,415.8,412.6,84.26
5/1/2022 6:25,165.2,283.8,340,400.7,137.5,280,409,407.7,83.819
5/1/2022 6:26,166.8,275.1,342.5,404.7,133.5,278.5,424.9,408.8,83.882
5/1/2022 6:27,166.7,282.9,345.7,399.5,133.5,280.5,412.1,399.1,84.134
5/1/2022 6:28,178.3,279,341.1,402.9,140.5,284.1,404.9,399.4,84.071
5/1/2022 6:29,165.4,276.1,340.7,404,127,275.3,412,412.3,83.188
5/1/2022 6:30,166.5,272.4,340.8,399.8,144.6,281.9,421.9,408.3,82.81
5/1/2022 6:31,170.8,282.1,352,399.2,134.7,275,415.2,459.9,82.81
5/1/2022 6:32,168.3,278.7,358.9,399.5,146.3,283,414.8,419.6,83.44
5/1/2022 6:33,179.4,282.5,352.2,405.4,159.1,279.1,415,414.8,83.567
5/1/2022 6:34,171,302.1,354.8,398.3,148.3,275.9,410.8,427,84.197
5/1/2022 6:35,171.1,303.1,340.6,401.2,134.1,279,415.6,414.5,83.756
5/1/2022 6:36,165.6,327.2,331.9,421.3,136.7,281.9,410.1,423.1,84.008
5/1/2022 6:37,166.5,323.4,337.7,404,145.1,282,404.1,419.5,84.386
5/1/2022 6:38,173.6,317.8,337.7,455.9,153.5,270.9,412.9,408.4,84.071
5/1/2022 6:39,170.6,333.5,334.9,414.6,142.8,279.7,393.5,400.3,84.26
5/1/2022 6:40,178.1,321.6,306,401.9,153,276.4,391.6,409.3,84.702
5/1/2022 6:41,172.7,308,300.4,403.2,144.9,281.9,399.1,444.9,84.008
5/1/2022 6:42,167,311.9,306.6,399.5,143.9,287.2,402.7,429.2,84.197
5/1/2022 6:43,173.7,310.6,305.3,408.7,141.5,286.3,392.9,408.3,83.503
5/1/2022 6:44,171.9,317,315.6,398.6,139.9,288.2,389.1,411.4,83.125
5/1/2022 6:45,171,301.8,332.2,403.5,149.5,277.7,393.8,417.3,83.63
5/1/2022 6:46,167.7,300.3,335.6,405,130.5,283.1,397.2,401.5,83.44
5/1/2022 6:47,169.1,298.6,329.1,400.1,133.9,283.2,398.2,412.2,83.567
5/1/2022 6:48,174.4,305.2,336.4,398.2,151.6,283.1,395.5,411.2,84.008
5/1/2022 6:49,173,291.6,333.4,403.8,133.3,282.2,402.9,414,83.882
5/1/2022 6:50,173.9,300.7,334.7,409.8,136.5,280,404.7,411.4,83.693
5/1/2022 6:51,171.7,295.9,329.8,426,134.4,277.7,389.8,403.3,83.314
5/1/2022 6:52,172.8,302.3,323,401.4,147.6,272.5,402.7,401.9,83.377
5/1/2022 6:53,162.6,297,338.7,400.2,129.1,277.1,395.7,421.1,83.63
5/1/2022 6:54,171.5,310.7,337.5,398.4,132.5,275.7,417.4,419.4,83.188
5/1/2022 6:55,172.6,314.8,333.8,420.7,149.5,275.8,441.9,417.2,83.693
5/1/2022 6:56,173.4,302.4,343.6,399.6,152.6,277,447.2,418.4,83.251
5/1/2022 6:57,172.4,315,330.9,395.6,147.4,265.2,437.9,424.8,83.251
5/1/2022 6:58,174.7,305.2,337.5,419.6,149.1,281.3,438.6,413.3,83.693
5/1/2022 6:59,171.5,305.8,329.1,392.9,146.9,286.2,462.6,419.5,82.936
5/1/2022 6:59,172.8,324.6,355.2,395.8,149.3,272.6,438.6,420.9,82.431
5/1/2022 7:00,175.2,312.3,355,405.5,141.9,283.9,420.8,488.8,82.873
5/1/2022 7:01,169.9,319.4,356,402.3,143.5,275.4,397.1,429.2,83.44
5/1/2022 7:02,167.4,319.5,369.4,402,143.8,278.2,402.7,423.3,84.071
5/1/2022 7:03,178.9,296.7,347.5,401.4,154.1,277.7,392.4,441.8,83.44
5/1/2022 7:04,176,300.9,351.3,457.5,150.3,274.7,404.6,430.9,83.251
5/1/2022 7:05,177.4,298.6,355,399.2,152.5,283.4,393.2,423.1,83.63
5/1/2022 7:06,170,298.2,344.6,398.4,131.7,272.1,417.1,494,84.008
5/1/2022 7:07,171,306.7,338.1,411.8,147.2,283.3,410,432.2,84.197
5/1/2022 7:08,170.1,287.2,339.9,404.7,130.2,284.5,410,421.8,84.008
5/1/2022 7:09,171.5,287.3,342.5,400.5,147.3,280.1,439.7,423.2,83.945
5/1/2022 7:10,171.2,299.3,343.1,425.7,150.8,279.2,448.2,435.1,83.819
5/1/2022 7:11,173.4,298.3,332.6,405.9,143.1,269.9,441.8,411.7,83.314
5/1/2022 7:12,172.4,295.6,334.9,400.3,145.6,278.3,447.6,422.9,83.377
5/1/2022 7:13,169.1,305.9,334.5,397.6,137.8,280.1,436.3,426.9,82.999
5/1/2022 7:14,172.2,311.7,334.4,402.9,150.2,279.1,438.2,417.7,83.314
5/1/2022 7:15,171.1,300.8,332.5,409.7,133.8,281.6,411,413.5,83.503
5/1/2022 7:16,173.6,292.6,347.4,401.1,147.3,277.2,402.5,421.5,83.693
5/1/2022 7:17,175.3,294.8,338.8,397.9,144,282.5,398.5,414.3,83.251
5/1/2022 7:18,170.4,291,335.4,393.3,138.2,279.2,399,406.2,83.503
5/1/2022 7:19,174.3,300,344.5,401.3,151.8,281.9,401.7,416.1,83.882
5/1/2022 7:20,167.2,305.9,347.5,404.3,145.5,280.8,406.9,411,84.197
5/1/2022 7:21,176.8,304.5,326.6,396.7,151.8,273.7,394.8,410.6,84.45
5/1/2022 7:22,166.6,288.4,319.5,395.9,141,280.9,387.8,416.2,84.323
5/1/2022 7:23,172.9,285.5,325.3,402.3,137,281.3,387.1,421.4,84.008
5/1/2022 7:24,177.4,284.9,326.6,401.7,144.1,278.6,389.4,429.4,83.945
5/1/2022 7:25,168.8,283.8,320,404,138.5,279.6,383.2,421.7,83.567
5/1/2022 7:26,168.2,285.3,318.9,425.4,137.1,281,393.5,419.6,83.251
5/1/2022 7:27,174.6,279.2,328.3,426.2,143.2,285.3,384.5,423.6,83.693
5/1/2022 7:28,168.9,273.2,332.1,400.2,143,289.4,391.1,407.9,83.314
5/1/2022 7:29,173.1,285.9,347.7,397.8,150.2,278.2,392.6,406.5,83.188
5/1/2022 7:30,169.1,281.2,338.1,396.3,140.3,271.9,385.5,422.9,83.251
5/1/2022 7:31,177.6,284.2,322.3,395.3,146.4,268.5,396.1,407.6,83.44
5/1/2022 7:32,169.3,275,324.7,396.9,129.8,279.5,385.5,414.7,84.008
5/1/2022 7:33,171.3,277.6,330.4,448.3,135.4,280.7,373.8,416.3,84.071
5/1/2022 7:34,176.5,274.2,327.9,412.2,144.7,282.7,397.2,410.4,83.819
5/1/2022 7:35,172.8,283.6,334.8,397.2,134.3,274,388.7,406.1,84.008
5/1/2022 7:36,159.8,281.3,331.9,397.5,132.4,275.4,405.2,412,84.008
5/1/2022 7:37,161.2,275.5,333.2,399.5,136.4,278,391.5,407.4,83.882
5/1/2022 7:38,158.6,284,331.7,404.3,120.3,275.9,385.7,422.9,83.377
5/1/2022 7:39,162.5,287.4,333.7,400.3,137.5,277.7,385.1,411.3,83.251
5/1/2022 7:40,159.8,276.7,329.5,401,121,278.6,385.4,413.1,82.999
5/1/2022 7:41,164.1,281.6,351,394.1,125.8,273.6,385.9,405.4,82.873
5/1/2022 7:42,160.9,273.8,340.2,396,123.5,274.8,389.5,420.6,83.503
5/1/2022 7:43,158.9,268.8,353,406,133.4,282.5,403.8,425.4,83.567
5/1/2022 7:44,162.4,271,347.7,403.2,131.5,283.5,410.6,429.6,83.062
5/1/2022 7:45,156.9,287.5,350.7,405,118.2,274.2,408.8,434.7,82.999
5/1/2022 7:46,159.4,279.5,342.7,395.8,124.8,282.1,404.7,426.9,82.999
5/1/2022 7:47,159.7,286.8,343.9,402.9,127.4,275.1,405.1,417.2,82.81
5/1/2022 7:48,164.3,265.2,341.3,406.6,138.7,285.8,401.9,424.1,83.188
5/1/2022 7:49,166.2,283.2,341.9,398.4,128.9,285.8,399.9,435,82.81
5/1/2022 7:50,162.9,274.5,343.6,395.7,140.1,276.9,393.7,435.6,83.062
5/1/2022 7:51,165.8,282.4,343.1,393.4,139.2,277.1,395.5,418,82.999
5/1/2022 7:52,155.4,281.8,347.6,398.3,115.8,281.9,399.1,431.4,83.567
5/1/2022 7:53,154.5,279.3,348.2,389.3,118.5,270.1,397.9,405,83.819
5/1/2022 7:54,161,276.1,345.6,399.7,134.8,271.5,393.7,419.2,83.819
5/1/2022 7:55,164,278.6,344.5,404.2,137.2,280.9,404.2,426.3,84.071
5/1/2022 7:56,165.2,288.6,348.4,395.4,136.3,277.4,423.4,418.7,84.323
5/1/2022 7:57,164.5,273.5,351.2,394.1,141.1,273.9,445.8,421.1,83.882
5/1/2022 7:58,160.3,284.3,356.7,400.7,126.3,280.2,442.6,424.1,84.134
5/1/2022 7:58,166.3,284.3,347.9,398.9,140.5,289,448.5,419.2,83.503
5/1/2022 7:59,168.2,282.7,355.7,396.9,132.7,281,440.8,428.8,83.188
5/1/2022 8:00,162,279,347,402,134.9,276.1,433.9,416.6,83.314
5/1/2022 8:01,161.9,275.5,344.4,391.5,139.8,276.6,398.5,425.5,83.377
5/1/2022 8:02,165.2,272.5,340.6,445.1,131.8,282,384.1,420.1,82.999
5/1/2022 8:03,159.9,270.8,345.2,396.5,134.6,282.3,390.6,434.3,83.125
5/1/2022 8:04,154.5,280.4,342.2,396.6,124.3,278.6,385.5,425.9,83.567
5/1/2022 8:05,159.1,279.8,343.1,401.4,133.6,279,387.7,465.5,83.693
5/1/2022 8:06,164.4,275,337.2,409.7,134.6,275,391.2,426,83.693
5/1/2022 8:07,160.4,284.5,350.5,411.2,140,282.2,397.2,428.7,83.693
5/1/2022 8:08,166.3,279.2,349.5,414.8,130.7,271.3,399.1,423.4,83.756
5/1/2022 8:09,160.2,278.5,347.3,405.4,133.2,276.4,396,434.5,83.44
5/1/2022 8:10,163.3,274,346.4,395.2,133.4,280.5,430.1,422.3,82.999
5/1/2022 8:11,161.6,274.8,351.2,391.5,124.3,284.7,440.3,411.8,83.44
5/1/2022 8:12,157,275.3,354,392.4,121.1,274,441.3,405.8,83.314
5/1/2022 8:13,165.1,274,343,391.5,141.8,275.9,430.8,413.7,83.377
5/1/2022 8:14,157.2,275.5,348.2,398.1,119.3,273.6,425.9,413.6,83.882
5/1/2022 8:15,170.2,281.6,349.8,390.9,144.6,278.5,407.3,411.4,83.819
5/1/2022 8:16,161.5,279.1,346.3,394.9,140.6,276.6,395.1,416.2,83.125
5/1/2022 8:17,165.8,276.7,352,402.9,132.8,277.7,378.5,424.2,82.431
5/1/2022 8:18,159.3,283.3,357.2,397.9,132.1,279.3,389.8,410.3,82.62
5/1/2022 8:19,162.3,277.9,366.5,395,132.6,273.2,387.3,463.6,82.305
5/1/2022 8:20,154.4,292.8,369.9,398.6,118.7,274.9,393.6,399,83.125
5/1/2022 8:21,170.1,273.7,372.9,398.6,130.1,276,380.9,406.1,82.81
5/1/2022 8:22,168.1,283.8,362.2,450.2,136.7,277.2,399.5,422.1,82.873
5/1/2022 8:23,166.9,281.4,363.7,395.9,130.5,272.2,402.5,418.2,82.81
5/1/2022 8:24,158.5,273.2,370.8,390.8,129.8,280.5,402.8,424.4,83.125
5/1/2022 8:25,156.9,279,367.9,389.9,132.8,272.6,398.2,426.3,83.567
5/1/2022 8:26,158.4,279,363.9,390.8,137.8,277.3,394.4,488.4,83.251
5/1/2022 8:27,164.6,271.6,361.7,393.5,139.1,284.1,406.9,419.2,83.503
5/1/2022 8:28,158.9,278.7,356.7,393.6,130.5,287.5,387.7,406.4,83.693
5/1/2022 8:29,164.9,277.2,367.2,403.6,128,277.3,390.8,410,83.567
5/1/2022 8:30,155.7,271.6,373.2,399.8,135.2,276.1,399.8,403.6,83.567
5/1/2022 8:31,164.9,270.4,367.6,396,143.6,283.3,384.7,403.6,83.503
5/1/2022 8:32,165.1,286.2,372,452.1,140.4,274.6,394.7,408.7,83.819
5/1/2022 8:33,171.7,281.2,361.6,391,133.6,284,405.5,476.1,83.945
5/1/2022 8:34,165.2,283.8,351.2,398.3,136.1,273.5,405.7,414.9,84.008
5/1/2022 8:35,165.6,272.9,355.2,390.3,141.6,277.3,408.2,428,84.197
5/1/2022 8:36,168.3,268.8,372.7,398,142.1,277.1,406.4,425.4,84.323
5/1/2022 8:37,152.7,286.1,344.7,397,129.4,276.8,381.2,433,84.26
5/1/2022 8:38,156.2,278.9,347,399.4,126.9,280.5,391.8,436.4,84.197
5/1/2022 8:39,164.2,276,350.8,401,127.5,279.7,381,423.1,84.197
5/1/2022 8:40,168.8,272.4,339.9,394.7,144.3,271.7,387.5,423.3,83.44
5/1/2022 8:41,167.8,272.8,345.2,397.3,143.5,271.6,376.2,416.2,83.377
5/1/2022 8:42,168.3,272.7,344.9,402.3,146,282.7,381.9,425.6,83.188
5/1/2022 8:43,166.9,268.4,350.8,400.8,145.2,279.8,381.2,418,82.747
5/1/2022 8:44,168.6,273.8,359.4,389.1,134.6,273.3,389.5,416.8,83.251
5/1/2022 8:45,168.1,266.4,372.1,416.3,141.7,280.2,404.6,425,82.936
5/1/2022 8:46,166.5,274.8,368.6,395.6,145.6,280.5,393.6,416.7,83.062
5/1/2022 8:47,160,276.4,362.1,396.1,136.4,284.7,397.7,489.7,82.62
5/1/2022 8:48,164.4,277.4,366.5,393.5,128.5,282,408.1,422.9,83.314
5/1/2022 8:49,169.9,275.5,360.9,403,147.7,277.4,394.1,405.6,82.873
5/1/2022 8:50,167.1,287.9,381.6,390.3,145.5,278.6,396.3,415.6,82.431
5/1/2022 8:51,166.1,276.5,383.2,391.4,133.4,281.9,387.8,415.3,82.683
5/1/2022 8:52,163.4,282.3,376,424.8,135.6,278.9,386.3,445.1,82.81
5/1/2022 8:53,174.4,270.9,386.3,397.6,141.5,279.6,387.9,415.6,82.747
5/1/2022 8:54,158,272.4,381.4,393.8,125.6,276.6,405.3,427.5,82.62
5/1/2022 8:55,165,278,381.3,394.2,130.4,281,394.2,418.9,82.81
5/1/2022 8:56,159.4,283.6,370.7,421.5,124.1,282.6,390.7,420.7,82.62
5/1/2022 8:57,159.7,286.7,376.8,432.5,124.3,279.9,391.7,415.4,83.377
5/1/2022 8:57,153.6,270.5,372.1,393.8,114.9,280,398,416.7,83.567
5/1/2022 8:58,163.7,284.7,377.9,464.2,135.1,278.5,391.1,424.9,83.945
5/1/2022 8:59,158.1,281.4,356.2,404.1,126.7,279.2,392.6,417.1,84.323
5/1/2022 9:00,163.3,282.2,329.7,389.6,142.8,288.2,404.7,434,84.197
5/1/2022 9:01,165.1,279.5,337.1,395,133.2,278.7,384.6,437.3,84.008
5/1/2022 9:02,160.5,274,327.5,396.9,129.9,274.4,386.4,447.9,83.756
5/1/2022 9:03,161.7,278.9,342.4,394.7,129.4,282.7,378.6,435.1,83.062
5/1/2022 9:04,169.8,273.6,360.5,396.6,132.8,270.3,379,434.1,83.44
5/1/2022 9:05,159.3,271.7,357.4,398.4,133.8,276.9,374.3,433.5,83.567
5/1/2022 9:06,165.4,275.7,358.4,394.1,142.1,282,392.2,458.9,82.936
5/1/2022 9:07,160.7,275.4,360,395.9,122.6,279.8,380.4,427.3,82.81
5/1/2022 9:08,162.5,274.3,355.5,394.4,128.5,277.2,391.6,431.5,83.44
5/1/2022 9:09,166,279.5,366,389.9,144.2,290.5,388.9,461,83.567
5/1/2022 9:10,165.1,278.9,351.7,393.8,129.6,285.8,387.5,430.7,82.999
5/1/2022 9:11,155.4,274.7,356.1,388,126.9,280.3,383.2,421.3,83.062
5/1/2022 9:12,162.7,280.7,357.4,394.8,127.4,277.7,392.5,418.1,83.188
5/1/2022 9:13,165.7,269.7,357.4,431.8,139.8,280.1,385.8,433.2,83.062
5/1/2022 9:14,163.8,279.7,362.4,403.4,143,277.7,391,428.4,82.557
5/1/2022 9:15,162.5,286.1,368.8,399.4,137.6,279.8,379.5,429.4,82.431
5/1/2022 9:16,162.4,276.6,371.6,397.4,134.5,279.3,390.3,414.5,82.936
5/1/2022 9:17,164.3,275.5,368.2,399.2,124.8,282.3,383.7,416.1,83.188
5/1/2022 9:18,163.7,279,367.4,394.7,143.4,281.2,379.4,407.4,83.314
5/1/2022 9:19,166,274.7,368.9,419.1,142.2,287.3,380,419.7,83.63
5/1/2022 9:20,166,272.3,363,400.8,138.9,281.8,374.6,424.7,83.945
5/1/2022 9:21,158.5,280.1,359.8,399.9,134.4,280.8,384.4,426.2,83.693
5/1/2022 9:22,165,280.3,360.4,405.6,144.5,278.9,393.2,414.6,83.188
5/1/2022 9:23,162.3,277.8,360.8,400.4,137.3,270.2,380.3,428.8,82.936
5/1/2022 9:24,164.8,264.8,359.8,396.4,142,275.1,379.2,410.4,82.683
5/1/2022 9:25,166.1,276.3,364.5,395,138.1,280.5,423.4,412.7,83.503
5/1/2022 9:26,168.2,272.3,360.4,402.8,143.1,282.5,419.8,410.2,83.693
5/1/2022 9:27,165.1,282.1,365.3,437.4,135.1,282.9,421.7,421.8,83.63
5/1/2022 9:28,164.8,272.8,370.2,398.7,132.2,274,423.1,420.4,83.188
5/1/2022 9:29,166.7,267.8,372.5,408.6,139.6,275.3,413.1,424.2,82.368
5/1/2022 9:30,166.4,273,377.7,392.9,134.1,276.1,376,427.5,82.62
5/1/2022 9:31,169,281.5,361.6,407.4,148.5,274.8,364.8,428.9,82.873
5/1/2022 9:32,166.8,279.7,379.3,389.2,131.5,283.1,379.3,430.3,82.62
5/1/2022 9:33,161.2,273.9,375.8,395.3,140,280.2,358.7,443.7,82.873
5/1/2022 9:34,164,275.9,371.2,394,142.7,278.6,365.2,439.5,83.125
5/1/2022 9:35,164.5,268.4,378.1,396.2,133.7,277.5,366.2,437.7,82.431
5/1/2022 9:36,163.7,277.2,372.5,392.3,133.5,282.1,367.1,434,82.557
5/1/2022 9:37,162.3,273.3,379.3,387.3,132.6,273,362.9,498.7,82.62
5/1/2022 9:38,167.2,284.1,380.4,386,130.4,279.5,366.1,425.3,82.873
5/1/2022 9:39,160.9,281.7,375.1,387.5,130,268.4,388.3,435.1,82.62
5/1/2022 9:40,160.2,277.8,384.2,403.9,124.6,275.8,411.2,439.1,82.62
5/1/2022 9:41,167,271.1,366,400.8,129.5,268.1,401.8,425.8,83.188
5/1/2022 9:42,162.2,272.2,372.1,452.1,136.2,276.6,409.4,439.9,82.999
5/1/2022 9:43,176.1,272.7,384.8,411.7,144.5,274.9,402.9,429.1,83.314
5/1/2022 9:44,164.3,285.2,371.8,413.9,136,272.9,400.9,418.8,83.44
5/1/2022 9:45,170.8,268.6,368.3,385.4,136.2,261.6,361.5,433.9,83.188
5/1/2022 9:46,165.3,280.6,378.6,394.1,132,281.9,366.4,444.4,82.305
5/1/2022 9:47,167.9,273.4,381.4,394.5,147,284.9,365.7,425,82.053
5/1/2022 9:48,164.3,269.9,373.3,396,140.8,275.7,369.6,425.9,82.62
5/1/2022 9:49,171.4,276.2,379.8,398.3,141.5,287.3,373.7,433,82.62
5/1/2022 9:50,164.9,267.9,377,398.8,132.8,280.7,373,421,81.864
5/1/2022 9:51,167.4,266.3,372.7,408.9,140.2,276.7,377.1,421.4,82.62
5/1/2022 9:52,173.9,268.7,364.4,396.3,136.4,277.2,375.4,422.6,82.431
5/1/2022 9:53,169.5,280.9,381.9,395.1,148.5,279.7,372.1,468.6,82.053
5/1/2022 9:54,161,277.6,379.6,395.3,135.5,290.7,370,430.8,82.368
5/1/2022 9:55,161.9,265.3,379.1,397.5,140.6,274.8,362.2,434,82.242
5/1/2022 9:56,168.8,272.4,371.4,394.7,134.5,287.2,373.6,425,81.927
5/1/2022 9:56,164.2,275,370.6,399,133.5,274.7,378.7,428.9,82.053
